  time              x              y              z             vx             vy             vz
     0              1              0              0              0           6.28              0
  0.05              1          0.314              0     -1.9739209      5.6601888              0
   0.1     0.90130396     0.59700944              0     -3.5189761      4.6367688              0
  0.15     0.72535515     0.82884788              0      -4.652126      3.3419425              0
   0.2     0.49274885     0.99594501              0     -5.3800649      1.8706309              0
  0.25     0.22374561      1.0894766              0     -5.7019774     0.30315349              0
   0.3   -0.061353262      1.1046342              0     -5.6139533     -1.2816758              0
  0.35    -0.34205093      1.0405504              0     -5.1153462     -2.7984847              0
   0.4    -0.59781824      0.9006262              0     -4.2173676      -4.151309              0
  0.45    -0.80868662     0.69306075              0     -2.9536239     -5.2343629              0
   0.5    -0.95636781     0.43134261              0      -1.390985     -5.9391469              0
  0.55     -1.0259171     0.13438526              0     0.36265731     -6.1688572              0
   0.6     -1.0077842     -0.1740576              0      2.1585385     -5.8586848              0
  0.65    -0.89985727    -0.46699184              0      3.8190907     -4.9969211              0
   0.7    -0.70890274     -0.7168379              0       5.161973     -3.6390072              0
  0.75    -0.45080409    -0.89878825              0       6.030375     -1.9076353              0
   0.8    -0.14928533    -0.99417002              0      6.3202371    0.022709579              0
  0.85     0.16672652    -0.99303454              0      5.9963253      1.9519502              0
   0.9     0.46654278    -0.89543703              0      5.0943001        3.68321              0
  0.95     0.72125779    -0.71127653              0      3.7111834      5.0471862              0
     1     0.90681696    -0.45891722              0       1.989126      5.9186761              0
  1.05      1.0062733    -0.16298342              0    0.097024716      6.2251347              0
   1.1      1.0111245     0.14827332              0     -1.7871334       5.948838              0
  1.15     0.92176782     0.44571522              0     -3.4919488      5.1244849              0
   1.2     0.74717038     0.70193946              0     -4.8660219      3.8335931              0
  1.25     0.50386929     0.89361911              0     -5.7891338      2.1964414              0
   1.3      0.2144126      1.0034412              0     -6.1811323     0.36190631              0
  1.35   -0.094644017      1.0215365              0     -6.0082054     -1.5045738              0
   1.4    -0.39505429     0.94630781              0     -5.2860064     -3.2345198              0
  1.45     -0.6593546     0.78458182              0     -4.0790439     -4.6707133              0
