  time              x              y              z             vx             vy             vz
     0    -0.98574012    -0.27201391              0      2.5434751     -5.6689783              0
  0.05    -0.81307416     -0.5429093              0      4.3120401     -4.8445191              0
   0.1    -0.55453611    -0.75646582              0      5.8340306     -3.3663368              0
  0.15     -0.2296711    -0.87954297              0      6.7990619     -1.3059234              0
   0.2     0.12537008    -0.88705815              0      6.9287347      1.0673153              0
  0.25     0.46320237    -0.77281144              0      6.1316143      3.3277427              0
   0.3     0.73853152    -0.55428389              0      4.5808081      5.0653652              0
  0.35     0.92128318    -0.26627492              0      2.6240577      6.0581582              0
   0.4      1.0009373    0.051531932              0     0.61187294      6.3056208              0
  0.45     0.98247047     0.36428716              0     -1.2121729      5.9425918              0
   0.5        0.87972     0.64579111              0     -2.7230489        5.13968              0
  0.55     0.71016559     0.87825516              0     -3.8775551      4.0476719              0
   0.6     0.49196449      1.0505583              0     -4.6750576      2.7818663              0
  0.65     0.24265983      1.1564418              0     -5.1312566      1.4258662              0
   0.7    -0.02116117      1.1931449              0     -5.2641298     0.04110217              0
  0.75    -0.28375316       1.160552              0     -5.0876208     -1.3235149              0
   0.8    -0.52992325      1.0607934              0     -4.6097211     -2.6230934              0
  0.85    -0.74472527     0.89824266              0     -3.8333499     -3.8090847              0
   0.9    -0.91325824     0.67988496              0     -2.7599381     -4.8218121              0
  0.95     -1.0207191     0.41606146              0      -1.396979     -5.5830943              0
     1     -1.0529561     0.12157553              0     0.22793279     -5.9904784              0
  1.05     -0.9979258    -0.18298639              0      2.0437111     -5.9183044              0
   1.1    -0.84858502    -0.47025491              0      3.9039799     -5.2371114              0
  1.15    -0.60752781    -0.70669753              0       5.561947     -3.8671247              0
   1.2    -0.29239032    -0.85696738              0      6.6914664     -1.8661066              0
  1.25    0.061618832    -0.89330819              0      6.9954766     0.50120235              0
   1.3     0.40715733    -0.80684715              0      6.3663867      2.8080032              0
  1.35      0.6982575    -0.61250787              0      4.9619934      4.6411818              0
   1.4     0.90335667    -0.34272897              0      3.1134849      5.7706094              0
  1.45       1.009606   -0.035446927              0      1.1585052      6.1795736              0
   1.5      1.0192072      0.2752284              0    -0.66288956      5.9826441              0
  1.55     0.94331704     0.56281749              0     -2.2202392      5.3326828              0
   1.6     0.79718328     0.80849668              0     -3.4601939      4.3684367              0
  1.65     0.59729764     0.99966116              0     -4.3710138      3.1985181              0
   1.7      0.3600819      1.1283485              0     -4.9582065      1.9034981              0
  1.75     0.10147699       1.190011              0     -5.2308869     0.54383924              0
   1.8    -0.16300679      1.1827324              0     -5.1951417    -0.83148373              0
  1.85    -0.41803718      1.1068626              0     -4.8515104     -2.1769466              0
   1.9    -0.64815783     0.96503775              0     -4.1952188     -3.4427656              0
  1.95    -0.83755906     0.76258604              0     -3.2192326     -4.5669116              0
     2    -0.97008109     0.50834659              0      -1.921618     -5.4667101              0
  2.05     -1.0297209     0.21591503              0    -0.32016465     -6.0316071              0
   2.1     -1.0020976   -0.094814117              0      1.5222477     -6.1228265              0
  2.15    -0.87749609    -0.39636762              0      3.4622049     -5.5928387              0
   2.2    -0.65587706    -0.65409799              0       5.246854     -4.3423433              0
  2.25    -0.35281069    -0.83060195              0      6.5351381     -2.4146139              0
   2.3  -0.0023632483    -0.89555938              0      7.0121961   -0.068578258              0
  2.35     0.34840892    -0.83745977              0      6.5546514      2.2695834              0
   2.4     0.65310189    -0.66860103              0      5.3043914      4.1853782              0
  2.45     0.87884806    -0.41892196              0      3.5750038      5.4416146              0
   2.5      1.0106023    -0.12443958              0      1.6902923      6.0059837              0
  2.55      1.0478773     0.18167641              0    -0.11427633      5.9732554              0
   2.6     0.99917464     0.47288596              0     -1.7040982      5.4786778              0
  2.65     0.87746747     0.72954419              0     -3.0169471      4.6486097              0
   2.7     0.69747993     0.93774693              0     -4.0309998      3.5842498              0
  2.75     0.47436749      1.0879692              0      -4.742267      2.3622186              0
   2.8     0.22325323      1.1739688              0     -5.1514026      1.0410336              0
  2.85    -0.04077277      1.1920725              0     -5.2568062    -0.33124391              0
   2.9    -0.30242739      1.1408444              0     -5.0515411     -1.7094273              0
  2.95    -0.54592688      1.0211298              0     -4.5229202     -3.0434688              0
     3    -0.75471942     0.83649753              0     -3.6549876      -4.269947              0
  3.05    -0.91142564     0.59413509              0     -2.4356311     -5.3025786              0
   3.1    -0.99828253     0.30623966              0    -0.87176368     -6.0233764              0
  3.15    -0.99860201  -0.0082025445              0     0.98323602     -6.2807154              0
   3.2    -0.89995892    -0.32183187              0      2.9901833     -5.9087849              0
  3.25    -0.69958367    -0.59908103              0       4.891202     -4.7882387              0
   3.3    -0.41083872    -0.80065574              0       6.331282     -2.9471971              0
  3.35   -0.066455474    -0.89380075              0      6.9787647     -0.6376437              0
   3.4     0.28703775    -0.86442011              0      6.6949556      1.7166582              0
  3.45     0.60304009    -0.72213493              0      5.6053354      3.7015641              0
   3.5     0.84757128    -0.49426371              0      4.0049837      5.0738882              0
  3.55      1.0035385    -0.21474611              0      2.2029875      5.7864419              0
   3.6        1.06787    0.084380485              0     0.42918293      5.9147784              0
  3.65      1.0464567     0.37673173              0     -1.1789672      5.5767672              0
   3.7     0.94997332      0.6420572              0     -2.5516505      4.8861314              0
  3.75      0.7912917     0.86534487              0     -3.6580269      3.9360266              0
   3.8     0.58417063      1.0356599              0     -4.4853755      2.7982862              0
  3.85     0.34275415      1.1451735              0     -5.0263813      1.5285634              0
   3.9    0.081532501      1.1885162              0     -5.2720274     0.17305963              0
  3.95    -0.18444859      1.1624794              0     -5.2079814     -1.2243448              0
     4    -0.43926564      1.0660817              0     -4.8135261     -2.6143355              0
  4.05    -0.66580121      0.9010459              0     -4.0634198     -3.9331143              0
   4.1    -0.84560762      0.6727703              0     -2.9346932     -5.0917535              0
  4.15    -0.95927052     0.39187054              0      -1.422358     -5.9655954              0
   4.2    -0.98784342    0.076210764              0     0.43098036     -6.3905323              0
  4.25    -0.91617249    -0.24718269              0      2.4916295     -6.1823646              0
   4.3    -0.73868047    -0.54202569              0      4.4977595     -5.2013001              0
  4.35    -0.46639654     -0.7673127              0      6.0814699     -3.4597403              0
   4.4    -0.13053348    -0.88799973              0      6.8954402     -1.2016152              0
  4.45     0.22314748    -0.88747422              0      6.7862183      1.1535252              0
   4.5     0.54808835     -0.7726472              0      5.8624873      3.1935829              0
  4.55     0.80939621    -0.56811592              0      4.4000547      4.6704677              0
   4.6     0.98809382    -0.30560043              0      2.6925134      5.5229237              0
  4.65      1.0786476   -0.015823559              0     0.96306574      5.8079776              0
   4.7      1.0844004     0.27519733              0    -0.64923819      5.6264563              0
  4.75      1.0137237     0.54682207              0     -2.0682971      5.0793025              0
   4.8     0.87757069     0.78312758              0     -3.2553545      4.2511015              0
  4.85     0.68818828     0.97193222              0     -4.1897863      3.2081507              0
